sample-id,score,group
ERR1074397,0.7122,NORMAL
ERR1074398,0.7134,NORMAL
ERR1074400,0.8045,OTHER
ERR1074417,0.7729,OTHER
ERR1074418,0.6063,NORMAL
ERR1074430,0.7292,OTHER
ERR1074436,0.6231,NORMAL
ERR1074437,0.7904,OTHER
ERR1074439,0.7749,OTHER
ERR1074441,0.7008,NORMAL
ERR1074453,0.6592,NORMAL
ERR1074463,0.8247,OTHER
ERR1074480,0.7077,NORMAL
ERR1074490,0.7149,NORMAL
ERR1074512,0.6937,NORMAL
ERR1074514,0.791,OTHER
ERR1074516,0.7973,OTHER
ERR1074526,0.6732,NORMAL
ERR1074538,0.9367,DEVIANT
ERR1074540,0.7881,OTHER
ERR1074543,0.7621,OTHER
ERR1074550,0.7901,OTHER
ERR1074551,0.6924,NORMAL
ERR1074565,0.7094,NORMAL
ERR1074568,0.6477,NORMAL
ERR1074572,0.7287,OTHER
ERR1074575,0.7849,OTHER
ERR1074579,0.6829,NORMAL
ERR1074586,0.7078,NORMAL
ERR1074591,0.7419,OTHER
ERR1074608,0.6731,NORMAL
ERR1074610,0.7031,NORMAL
ERR1074741,0.7387,OTHER
ERR1074744,0.6995,NORMAL
ERR1074751,0.723,NORMAL
ERR1074763,0.8112,OTHER
ERR1074770,0.6316,NORMAL
ERR1074774,0.7766,OTHER
ERR1074775,0.8293,OTHER
ERR1074782,0.6596,NORMAL
ERR1074785,0.851,OTHER
ERR1074786,0.8404,OTHER
ERR1074789,0.8628,OTHER
ERR1074806,0.7735,OTHER
ERR1074809,0.7852,OTHER
ERR1074810,0.8263,OTHER
ERR1074811,0.7232,NORMAL
ERR1074841,0.8433,OTHER
ERR1074842,0.7607,OTHER
ERR1074843,0.7093,NORMAL
ERR1074862,0.7459,OTHER
ERR1074883,0.6885,NORMAL
ERR1074888,0.6508,NORMAL
ERR1074892,0.6539,NORMAL
ERR1074894,0.6497,NORMAL
ERR1074900,0.7332,OTHER
ERR1074958,0.8427,OTHER
ERR1074962,0.8773,OTHER
ERR1074965,0.7281,OTHER
ERR1074972,0.5842,NORMAL
ERR1074973,0.6239,NORMAL
ERR1074984,0.7206,NORMAL
ERR1074986,0.6209,NORMAL
ERR1074992,0.8252,OTHER
ERR1074996,0.7556,OTHER
ERR1075001,0.9114,DEVIANT
ERR1075009,0.6697,NORMAL
ERR1075014,0.7428,OTHER
ERR1075017,0.6992,NORMAL
ERR1075019,0.662,NORMAL
ERR1075032,0.6466,NORMAL
ERR1075036,0.7545,OTHER
ERR1075040,0.7294,OTHER
ERR1075050,0.5833,NORMAL
ERR1075051,0.673,NORMAL
ERR1075052,0.6356,NORMAL
ERR1075054,0.6807,NORMAL
ERR1075057,0.681,NORMAL
ERR1075058,0.7246,NORMAL
ERR1075059,0.824,OTHER
ERR1075062,0.7846,OTHER
ERR1075063,0.6573,NORMAL
ERR1075065,0.705,NORMAL
ERR1075066,0.6517,NORMAL
ERR1075070,0.6558,NORMAL
ERR1075073,0.7349,OTHER
ERR1075074,0.7686,OTHER
ERR1075075,0.5392,NORMAL
ERR1075076,0.7471,OTHER
ERR1075080,0.9537,DEVIANT
ERR1075081,0.739,OTHER
ERR1075082,0.8329,OTHER
ERR1075083,0.7069,NORMAL
ERR1075086,0.9316,DEVIANT
ERR1075090,0.7066,NORMAL
ERR1075095,0.7324,OTHER
ERR1075105,0.7105,NORMAL
ERR1075107,0.6467,NORMAL
ERR1075111,0.5611,NORMAL
ERR1075114,0.8486,OTHER
ERR1075117,0.7061,NORMAL
ERR1075121,0.8501,OTHER
ERR1075123,0.8848,OTHER
ERR1075136,0.7988,OTHER
ERR1075137,0.7684,OTHER
ERR1075138,0.7207,NORMAL
ERR1075139,0.6808,NORMAL
ERR1075142,0.6677,NORMAL
